description,industry,level,size,line_code,value
Type of outstanding debt: bank overdrafts,total,0,6�19 employees,D0201,13215
Type of outstanding debt: bank overdrafts,total,0,20�49 employees,D0201,3405
Type of outstanding debt: bank overdrafts,total,0,50�99 employees,D0201,978
Type of outstanding debt: bank overdrafts,total,0,100+ employees,D0201,687
Type of outstanding debt: bank overdrafts,"Agriculture, forestry, & fishing",1,total,D0201,1974
Type of outstanding debt: bank overdrafts,Agriculture,2,total,D0201,1371
Type of outstanding debt: bank overdrafts,Commercial fishing,2,total,D0201,24
Type of outstanding debt: bank overdrafts,Forestry & logging,2,total,D0201,117
Type of outstanding debt: bank overdrafts,"Agriculture, forestry, & fishing support services",2,total,D0201,465
Type of outstanding debt: bank overdrafts,Mining,1,total,D0201,30
Type of outstanding debt: bank overdrafts,Manufacturing,1,total,D0201,2424
Type of outstanding debt: bank overdrafts,"Food, beverage, & tobacco",2,total,D0201,474
Type of outstanding debt: bank overdrafts,"Textile, clothing, footwear, & leather",2,total,D0201,132
Type of outstanding debt: bank overdrafts,Wood & paper product,2,total,D0201,243
Type of outstanding debt: bank overdrafts,"Printing, publishing, & recorded media",2,total,D0201,90
Type of outstanding debt: bank overdrafts,"Petroleum, coal, chemical, & associated product",2,total,D0201,153
Type of outstanding debt: bank overdrafts,Non-metallic mineral product,2,total,D0201,87
Type of outstanding debt: bank overdrafts,Metal product,2,total,D0201,429
Type of outstanding debt: bank overdrafts,Transport and industrial machinery & equipment,2,total,D0201,546
Type of outstanding debt: bank overdrafts,Other machinery & equipment,2,total,D0201,102
Type of outstanding debt: bank overdrafts,Other manufacturing,2,total,D0201,165
Type of outstanding debt: bank overdrafts,"Electricity, gas, water, & waste services",1,total,D0201,54
Type of outstanding debt: bank overdrafts,Construction,1,total,D0201,2793
Type of outstanding debt: bank overdrafts,Wholesale trade,1,total,D0201,1395
Type of outstanding debt: bank overdrafts,Machinery & equipment wholesaling,2,total,D0201,315
Type of outstanding debt: bank overdrafts,Other wholesale trade,2,total,D0201,1080
Type of outstanding debt: bank overdrafts,Retail trade,1,total,D0201,1983
Type of outstanding debt: bank overdrafts,Accommodation & food services,1,total,D0201,2235
